,City,Country,Longitud,Latitud,Date,Max. Temperature,Humidity,Wind Speed,Cloudiness
100,Sitka,US,-135.33,57.05,1586371315,4.0,86,9.8,90
101,Bengkulu,ID,102.27,-3.8,1586371315,25.58,81,1.65,97
102,KwaDukuza,ZA,31.29,-29.33,1586371315,18.0,88,0.5,90
103,Asău,RO,26.4,46.43,1586371315,12.0,27,2.1,0
104,Gamba,GA,10.0,-2.65,1586371316,25.26,86,1.68,100
105,Lüderitz,NA,15.16,-26.65,1586371316,16.0,82,4.1,0
106,Malartic,CA,-78.13,48.13,1586371316,5.0,44,1.34,100
107,Bentiu,SS,29.83,9.23,1586371317,32.94,29,1.08,58
108,Gizo Government Station,SB,156.84,-8.1,1586371317,27.53,77,3.92,86
109,Kapit,MY,112.93,2.02,1586371317,23.09,94,0.21,3
110,Souillac,MU,57.52,-20.52,1586371317,27.0,78,4.6,40
111,Northam,GB,-4.22,51.03,1586371317,16.67,76,0.89,36
112,Ketchikan,US,-131.65,55.34,1586371318,4.0,93,5.1,90
113,Tianpeng,CN,103.94,30.99,1586371318,15.56,82,0.47,0
114,Turan,VN,108.22,16.07,1586371318,24.0,78,2.1,75
115,Yar-Sale,RU,70.83,66.83,1586371318,-3.52,98,2.0,100
116,Maniitsoq,GL,-52.9,65.42,1586371319,-2.45,86,2.73,97
117,Baoro,CF,15.97,5.67,1586371319,21.95,72,0.67,99
118,Bethel,US,-73.41,41.37,1586371319,14.44,81,1.5,90
119,Hobart,AU,147.33,-42.88,1586371050,6.67,87,4.1,0
120,Vila Velha,BR,-40.29,-20.33,1586371319,23.0,94,6.7,90
121,Ancud,CL,-73.82,-41.87,1586371320,23.0,35,2.1,0
122,Saskylakh,RU,114.08,71.92,1586371320,-8.12,97,1.88,86
123,Mbour,SN,-16.96,14.42,1586371321,33.0,36,4.6,0
124,Pravia,ES,-6.15,43.49,1586371321,14.44,93,4.1,75
125,Ballina,AU,153.57,-28.87,1586371321,16.67,75,2.6,57
126,Ostrovnoy,RU,39.51,68.05,1586371321,2.12,85,7.5,99
127,Sabang,ID,95.32,5.89,1586371322,28.63,73,3.74,57
128,Jalu,LY,21.55,29.03,1586371322,19.47,36,1.77,50
129,Oranjemund,NA,16.43,-28.55,1586371322,17.63,53,2.16,18
130,Scarborough,GB,-0.4,54.28,1586371322,17.0,51,2.6,44
131,Malinovoye Ozero,RU,79.78,51.68,1586371323,3.13,66,2.06,98
132,Manicoré,BR,-61.3,-5.81,1586371323,27.16,91,1.54,99
133,New Norfolk,AU,147.06,-42.78,1586371324,6.67,87,4.1,0
134,Constitución,CL,-72.42,-35.33,1586371151,18.87,48,2.57,3
135,East London,ZA,27.91,-33.02,1586371156,19.05,63,4.97,100
136,Charlestown,AU,151.67,-32.95,1586371324,17.22,93,2.1,90
137,Ochakiv,UA,31.55,46.61,1586371324,7.0,42,2.0,0
138,Sukumo,JP,132.73,32.93,1586371325,10.48,53,3.65,42
139,Otradnoye,RU,30.82,59.78,1586371325,8.0,33,2.0,42
140,Hastings,GB,0.57,50.86,1586371325,18.33,76,6.7,19
141,Ürümqi,CN,87.6,43.8,1586371326,18.0,22,4.0,0
142,Mahabalipuram,IN,80.17,12.63,1586371204,30.0,79,2.6,40
143,Along,IN,94.77,28.17,1586371326,18.56,53,2.18,67
144,Tasiilaq,GL,-37.64,65.61,1586371326,-2.0,74,7.2,20
145,Hendek,TR,30.75,40.8,1586371327,8.0,70,4.1,75
146,Norman Wells,CA,-126.83,65.28,1586371327,-6.96,92,4.02,15
147,Ilhabela,BR,-45.36,-23.78,1586371165,21.74,77,4.81,100
148,Khovd,MN,91.64,48.01,1586371113,4.47,37,0.93,0
149,Sioux Lookout,CA,-91.92,50.1,1586371180,0.0,70,1.5,90
150,Ilulissat,GL,-51.1,69.22,1586371160,-5.0,49,1.5,20
151,Saint Paul Harbor,US,-152.41,57.79,1586371328,1.0,59,9.3,1
152,Capitán Bado,PY,-55.53,-23.27,1586371328,25.53,43,2.55,16
153,Mackay,AU,149.2,-21.15,1586371329,22.22,92,4.09,14
154,Chute-aux-Outardes,CA,-68.4,49.12,1586371329,0.0,85,8.2,1
155,Namie,JP,141.0,37.48,1586371329,10.0,74,3.62,9
156,Rongcheng,CN,117.85,30.63,1586371329,14.19,57,1.28,83
157,Artyom,AZ,50.33,40.47,1586371330,8.0,59,7.2,75
158,Kenora,CA,-94.43,49.82,1586371330,3.0,64,6.2,75
159,Bandarbeyla,SO,50.81,9.49,1586371330,27.34,63,4.4,0
160,Samarai,PG,150.67,-10.62,1586371330,26.34,82,3.4,26
161,Clyde River,CA,-68.59,70.47,1586371331,-10.0,66,1.0,5
162,Mitsamiouli,KM,43.28,-11.38,1586371331,29.0,70,4.12,33
163,Comodoro Rivadavia,AR,-67.5,-45.87,1586371331,29.0,21,5.1,0
164,Auki,SB,160.7,-8.77,1586371331,27.22,78,2.17,14
165,Chokurdakh,RU,147.92,70.63,1586371332,-25.28,90,2.7,47
166,Tuatapere,NZ,167.68,-46.13,1586371332,10.0,90,6.26,100
167,Cidreira,BR,-50.21,-30.18,1586371332,19.22,62,7.92,32
168,Bangui,CF,18.55,4.36,1586371332,28.93,56,0.39,83
169,Jasper,US,-94.35,37.2,1586371096,29.44,48,2.1,1
170,Hasaki,JP,140.83,35.73,1586371333,9.0,93,3.1,20
171,Port Hueneme,US,-119.2,34.15,1586371333,15.0,66,2.73,75
172,Shimoda,JP,138.95,34.67,1586371333,15.0,55,0.45,0
173,Greenville,US,-77.37,35.61,1586371333,28.89,36,4.1,1
174,Krasnosel'kup,RU,82.47,65.7,1586371334,-2.81,97,8.95,93
175,Kungurtug,RU,97.52,50.6,1586371334,-2.35,58,1.89,0
176,Sur,OM,59.53,22.57,1586371334,27.92,46,2.48,0
177,Kilindoni,TZ,39.67,-7.91,1586371334,29.27,72,5.54,29
178,Máncora,PE,-81.05,-4.11,1586371335,17.0,100,6.2,59
179,Maţāy,EG,30.78,28.42,1586371335,21.18,31,3.89,0
180,Castro,BR,-50.01,-24.79,1586371335,23.3,29,2.06,16
181,Charters Towers,AU,146.27,-20.1,1586371336,19.6,79,2.82,31
182,Krutikha,RU,81.21,53.96,1586371336,-0.26,88,3.11,78
183,Bariloche,AR,-71.31,-41.15,1586371259,20.0,24,6.2,0
184,Launceston,AU,147.17,-41.45,1586371112,7.22,93,1.0,75
185,Nong’an,CN,125.17,44.38,1586371336,-1.0,86,1.0,20
186,Trincomalee,LK,81.23,8.57,1586371337,27.5,75,2.54,57
187,Forbes,AU,148.02,-33.38,1586371337,17.22,68,1.34,100
188,Berlevåg,NO,29.09,70.86,1586371337,1.0,91,7.7,75
189,Nishihara,JP,127.76,26.18,1586371337,18.0,72,2.6,75
190,Kichera,RU,110.1,55.94,1586371338,0.46,65,1.39,0
191,Fortuna,US,-124.16,40.6,1586371338,16.67,76,3.12,20
192,Whitehorse,CA,-135.05,60.72,1586371184,-3.0,73,9.3,75
193,Presidencia Roque Sáenz Peña,AR,-60.44,-26.79,1586371338,23.66,28,2.23,39
194,Portland,US,-122.68,45.52,1586371297,15.0,62,3.6,40
195,Severo-Yeniseyskiy,RU,93.04,60.37,1586371339,0.45,78,4.86,100
196,Bambous Virieux,MU,57.76,-20.34,1586371339,27.0,78,4.6,40
197,Saint-Philippe,RE,55.77,-21.36,1586371340,26.0,83,2.6,9
198,Coyhaique,CL,-72.07,-45.58,1586371340,21.0,52,1.5,0
199,Luanda,AO,13.23,-8.84,1586371165,28.0,78,7.2,40
200,Manuk Mangkaw,PH,119.85,4.8,1586371340,27.56,69,3.4,20
201,Aksarka,RU,67.8,66.56,1586371341,-6.52,97,9.91,100
202,Tiksi,RU,128.87,71.69,1586371341,-16.72,90,2.15,42
203,Lata,PT,-8.33,40.16,1586371341,18.33,82,2.6,40
204,Acarí,PE,-74.62,-15.43,1586371342,27.85,52,4.2,36
205,Amapá,BR,-52.0,1.0,1586371342,27.78,85,0.74,100
206,Upernavik,GL,-56.15,72.79,1586371128,-7.99,88,1.59,1
207,Amuntai,ID,115.25,-2.42,1586371343,23.58,95,0.59,96
208,Zilina,SK,19.17,49.17,1586371343,13.89,34,2.6,0
209,Matamoros,MX,-103.25,25.53,1586371343,30.0,22,2.1,75
210,Pevek,RU,170.31,69.7,1586371343,-23.0,91,1.64,89
211,Geraldton,AU,114.6,-28.77,1586371344,18.0,93,2.6,0
212,Briceni,MD,27.7,48.36,1586371344,12.78,40,2.72,1
213,Aklavik,CA,-135.01,68.22,1586371344,-9.0,61,1.5,5
214,Hong Kong,HK,114.16,22.29,1586371248,21.11,64,4.1,20
215,Pisco,PE,-76.22,-13.7,1586371345,23.89,30,3.1,8
216,Lagoa,PT,-27.98,39.05,1586371345,16.51,84,5.17,26
217,Sungai Raya,ID,108.9,0.7,1586371345,24.91,89,2.53,86
218,Ribeira Grande,PT,-28.7,38.52,1586371345,19.0,77,6.7,40
219,Coahuayana Viejo,MX,-103.68,18.73,1586371104,32.0,21,2.34,20
220,Saldanha,ZA,17.94,-33.01,1586371347,17.82,50,6.76,66
221,Ciudad Juárez,MX,-106.48,31.73,1586371347,24.0,17,5.7,75
222,Bahía Blanca,AR,-62.27,-38.72,1586371347,20.87,24,2.01,0
223,Fairfield,US,-73.32,41.27,1586371348,15.56,81,1.5,90
224,Jadu,LY,12.03,31.95,1586371348,13.67,46,7.04,0
225,Dingle,PH,122.67,11.0,1586371348,25.22,80,3.97,41
226,Bundaberg,AU,152.35,-24.85,1586371349,20.56,88,3.6,90
227,Neiafu,TO,-173.98,-18.65,1586371349,27.0,83,7.7,75
228,Manaure,CO,-72.44,11.78,1586371349,30.0,74,5.1,75
229,Puerto Ayora,EC,-90.35,-0.74,1586371349,30.0,70,4.1,20
230,Sandwick,GB,-1.25,60.0,1586371350,7.0,70,7.2,6
231,Aksu,CN,80.26,41.12,1586371350,16.24,19,1.37,11
232,Alta Floresta,BR,-56.09,-9.88,1586371350,34.0,49,1.5,75
233,Marieville,CA,-73.17,45.43,1586371350,9.44,39,3.6,1
234,Nikel,RU,30.22,69.41,1586371350,2.0,84,11.8,20
235,Yenişehir,TR,29.65,40.26,1586371129,8.89,70,3.1,61
236,Ponta do Sol,PT,-17.1,32.67,1586371351,22.0,73,1.0,20
237,Los Llanos de Aridane,ES,-17.92,28.66,1586371351,21.0,83,2.6,40
238,Honningsvåg,NO,25.97,70.98,1586371339,1.0,95,6.2,75
239,Luwuk,ID,122.79,-0.95,1586371351,26.24,68,1.28,90
240,Riyadh,SA,46.72,24.69,1586371352,34.0,21,1.5,75
241,Ocós,GT,-92.19,14.51,1586371352,36.0,39,5.1,5
242,Hirara,JP,125.28,24.8,1586371352,21.14,77,7.85,86
243,Mahon,ES,4.27,39.89,1586371352,16.0,67,2.1,2
244,Darnah,LY,22.64,32.77,1586371353,13.48,68,9.72,39
245,Kabo,CF,18.63,7.7,1586371353,27.46,52,0.86,76
246,Harper,LR,-7.72,4.38,1586371353,28.8,74,3.07,30
247,Gal'bshtadt,RU,78.98,53.23,1586371353,0.55,79,3.69,49
248,Kysyl-Syr,RU,122.76,63.9,1586371354,-0.52,97,2.5,98
249,Grand Gaube,MU,57.66,-20.01,1586371354,27.0,78,4.6,40
250,Nanortalik,GL,-45.24,60.14,1586371354,1.82,79,6.83,99
251,Hokitika,NZ,170.97,-42.72,1586371150,10.67,70,2.31,43
252,Dudinka,RU,86.18,69.41,1586371354,1.0,86,11.0,75
253,Aksha,RU,113.29,50.28,1586371355,-2.06,59,0.85,0
254,La Ronge,CA,-105.28,55.1,1586371185,-6.0,62,7.7,75
255,Mahébourg,MU,57.7,-20.41,1586371162,27.0,78,4.6,40
256,Yinchuan,CN,106.27,38.47,1586371355,11.67,8,0.89,97
257,Talnakh,RU,88.4,69.49,1586371356,1.0,86,11.0,75
258,Craig,US,-107.55,40.52,1586371306,14.0,30,2.22,1
259,Klaksvík,FO,-6.59,62.23,1586371356,5.0,65,6.2,21
260,Lavrentiya,RU,-171.0,65.58,1586371356,-16.68,88,3.1,5
261,Popondetta,PG,148.25,-8.75,1586371356,24.42,79,1.34,32
262,Kindu,CD,25.95,-2.95,1586371357,22.41,85,4.24,75
263,Bafoulabé,ML,-10.83,13.81,1586371357,41.64,6,2.76,0
264,Vilhena,BR,-60.15,-12.74,1586371323,27.0,78,3.1,75
265,Tilichiki,RU,166.1,60.47,1586371358,-17.16,90,2.21,0
266,Kulhudhuffushi,MV,73.07,6.62,1586371358,29.68,69,3.04,24
267,Banca,RO,27.8,46.3,1586371358,12.63,37,1.17,0
268,Alpena,US,-83.43,45.06,1586371358,17.0,44,6.7,1
269,Skibbereen,IE,-9.27,51.55,1586371358,13.0,76,3.1,75
270,Guilin,CN,110.29,25.28,1586371359,13.0,100,0.79,44
271,Torbay,CA,-52.73,47.67,1586371359,2.78,47,2.24,93
272,Kawalu,ID,108.21,-7.38,1586371359,23.59,81,0.79,100
273,Ipixuna,BR,-48.8,-1.76,1586371360,28.0,88,3.1,75
274,Oistins,BB,-59.53,13.07,1586371360,30.0,62,7.2,40
275,Aktau,KZ,51.2,43.65,1586371360,4.0,64,3.0,0
276,Laas,IT,10.7,46.62,1586371361,20.0,20,3.6,55
277,Ţahţā,EG,31.5,26.77,1586371361,23.0,25,4.1,0
278,Nizip,TR,37.79,37.01,1586371361,13.0,76,2.29,40
279,Gambo,CF,22.26,4.65,1586371362,23.56,75,0.53,78
280,Gravelbourg,CA,-106.55,49.88,1586371326,1.85,53,12.47,29
281,Haines Junction,CA,-137.51,60.75,1586371362,-5.57,86,1.21,100
282,Mwanza,TZ,32.9,-2.52,1586371362,23.3,50,1.03,84
283,Berbera,SO,45.01,10.44,1586371362,28.86,70,4.58,0
284,Moree,AU,149.85,-29.47,1586371363,17.0,77,4.6,40
285,Vao,NC,167.48,-22.67,1586371363,23.63,74,6.35,10
286,Alice Springs,AU,133.88,-23.7,1586371216,18.0,48,2.1,40
287,Inyonga,TZ,32.07,-6.72,1586371363,19.8,63,1.64,94
288,Dwārka,IN,68.97,22.24,1586371222,25.47,88,5.78,0
289,Champerico,GT,-91.92,14.3,1586371364,36.0,47,5.1,20
290,Itarema,BR,-39.92,-2.92,1586371364,29.74,74,5.46,81
291,Rafai,CF,23.92,4.95,1586371365,25.49,59,0.1,97
292,Gorin,RU,136.67,51.2,1586371365,-4.57,93,1.55,0
293,Kikwit,CD,18.82,-5.04,1586371365,25.61,66,0.7,82
294,Kathu,TH,98.33,7.92,1586371365,27.0,88,1.0,20
295,Malanje,AO,16.34,-9.54,1586371366,20.35,64,0.39,1
296,Álamos,MX,-108.93,27.02,1586371366,30.0,38,2.24,99
297,Tautira,PF,-149.15,-17.73,1586371366,29.0,66,2.1,52
298,Hambantota,LK,81.12,6.12,1586371366,27.68,76,2.81,63
299,Khatanga,RU,102.5,71.97,1586371224,-4.97,96,4.46,100
300,Teguise,ES,-13.56,29.06,1586371367,23.0,64,8.7,20
301,Dhidhdhoo,MV,73.1,6.88,1586371367,29.67,69,2.79,11
302,Kirakira,SB,161.92,-10.45,1586371367,25.85,81,2.16,12
303,Balikpapan,ID,116.83,-1.27,1586371207,25.0,100,1.5,40
304,Xam Nua,LA,104.04,20.42,1586371368,17.37,70,1.15,60
305,Taoudenni,ML,-3.98,22.68,1586371368,34.75,9,4.69,0
306,Ouango,CF,22.56,4.31,1586371368,23.58,80,0.27,83
307,Oranjestad,AW,-70.03,12.52,1586371338,31.0,66,10.8,40
308,Río Gallegos,AR,-69.22,-51.62,1586371369,27.0,21,6.7,9
309,Noumea,NC,166.46,-22.28,1586370790,20.0,88,4.39,30
310,Benin,BJ,2.25,9.5,1586371369,33.89,36,2.35,64
311,Pangnirtung,CA,-65.71,66.15,1586371370,-7.0,73,1.0,20
312,Nhulunbuy,AU,136.77,-12.23,1586371370,25.0,88,2.6,40
313,Praia,CV,-23.51,14.92,1586371370,28.0,48,9.8,0
314,Srednekolymsk,RU,153.68,67.45,1586371370,-17.09,91,6.15,100
315,Kupang,ID,123.58,-10.17,1586371370,27.22,76,3.88,95
316,Cascais,PT,-9.42,38.7,1586371371,17.78,82,3.6,40
317,Matara,LK,80.54,5.95,1586371371,25.36,88,2.1,46
318,San Cristobal,VE,-72.22,7.77,1586371371,34.0,46,6.2,40
319,Wolfenbüttel,DE,10.55,52.17,1586371320,22.0,26,2.1,27
320,Arrecife,ES,-13.55,28.96,1586371356,23.0,64,8.7,20
321,Airai,TL,125.41,-8.93,1586371372,16.06,70,0.35,96
322,Loíza,PR,-65.88,18.43,1586371372,28.89,83,7.7,75
323,Avera,US,-82.53,33.19,1586371373,28.33,74,6.2,90
324,Olafsvik,IS,-23.71,64.89,1586371373,0.59,86,1.52,13
325,Bathsheba,BB,-59.52,13.22,1586371373,30.0,62,7.2,40
326,Dunedin,NZ,170.5,-45.87,1586371373,10.0,72,1.34,90
327,Hazorasp,UZ,61.07,41.32,1586371374,4.0,38,3.1,59
328,Nikolskoye,RU,30.79,59.7,1586371374,8.0,33,2.0,40
329,Abonnema,NG,6.79,4.71,1586371374,28.66,75,4.29,76
330,Shingū,JP,135.98,33.73,1586371374,9.02,59,2.72,0
331,Palmas Bellas,PA,-80.09,9.23,1586371374,33.0,59,4.6,75
332,Cabra,ES,-4.44,37.47,1586371375,21.67,56,3.6,100
333,Myatlevo,RU,35.68,54.9,1586371375,10.0,53,4.0,65
334,Kondinskoye,RU,67.41,59.65,1586371375,-3.98,97,6.87,100
335,Camacha,PT,-16.33,33.08,1586371375,22.0,77,4.6,40
336,Katsuura,JP,140.3,35.13,1586371376,13.0,76,4.1,0
337,Iqaluit,CA,-68.51,63.75,1586371376,-11.0,66,1.5,5
338,Bloemfontein,ZA,26.21,-29.12,1586371253,14.0,76,1.0,0
339,Distrikt Brokopondo,SR,-55.17,4.75,1586371376,29.7,66,2.52,94
340,Luz,BR,-45.69,-19.8,1586371376,26.98,58,1.36,65
341,Cherskiy,RU,161.3,68.75,1586371377,-18.92,89,6.73,98
342,Chazuta,PE,-76.14,-6.57,1586371377,17.0,100,3.1,90
343,Teya,RU,92.63,60.38,1586371377,2.09,78,4.51,100
344,Kroya,ID,109.25,-7.63,1586371377,26.03,85,1.13,94
345,Mulegé,MX,-111.98,26.88,1586371378,22.78,45,1.75,100
346,Lompoc,US,-120.46,34.64,1586371378,13.89,76,1.5,1
347,Acapulco de Juárez,MX,-99.89,16.86,1586371329,30.0,48,2.6,40
348,Yulara,AU,130.99,-25.24,1586371378,17.0,45,3.1,65
349,Hamilton,US,-84.53,39.18,1586371379,26.11,39,7.7,75
350,Shivrājpur,IN,73.65,22.42,1586371379,25.34,51,3.0,9
351,Provideniya,RU,-173.3,64.38,1586371379,-16.01,91,2.19,63
352,Marsá Maţrūḩ,EG,27.25,31.35,1586371379,15.0,67,4.6,40
353,Sarāhan,IN,77.8,31.52,1586371379,4.93,25,3.4,2
354,Mt. Pleasant,US,-79.86,32.79,1586371380,30.0,61,3.6,20
355,Eureka,US,-124.16,40.8,1586371164,18.89,76,3.1,1
356,Ranong,TH,98.63,9.97,1586371205,26.7,81,1.97,41
357,Anadyr,RU,177.48,64.75,1586371204,-16.0,77,3.0,75
358,Bakchar,RU,82.07,57.02,1586371381,-1.26,91,5.43,16
359,Karratha,AU,116.85,-20.74,1586371084,27.33,64,2.42,12
360,Erenhot,CN,111.98,43.65,1586371381,2.16,42,6.05,3
361,Port-Cartier,CA,-66.87,50.03,1586371381,0.53,90,3.04,17
362,Viedma,AR,-63.0,-40.81,1586371381,22.19,20,5.86,0
363,Hereford,GB,-2.71,52.06,1586371382,18.89,53,0.68,29
364,Tiznit Province,MA,-9.5,29.58,1586371382,24.64,32,2.66,62
365,Cervo,ES,-7.41,43.67,1586371382,16.67,1,1.79,100
366,Half Moon Bay,US,-122.43,37.46,1586371382,17.78,82,2.6,90
367,Galle,LK,80.22,6.04,1586371383,26.81,83,2.66,30
368,Andra,RU,65.89,62.51,1586371383,-5.63,96,6.99,100
369,Kemin,KG,75.69,42.78,1586371383,6.67,43,0.99,98
370,Clarence Town,AU,151.78,-32.58,1586371383,17.22,93,2.1,90
371,Santo Tomas,PH,121.14,14.11,1586371384,28.0,69,1.0,20
372,Shimanovsk,RU,127.7,52.0,1586371384,-1.24,89,3.33,0
